time  open      close       high        low       volume         money
20130828000000  2326.1000  2328.0600  2345.3600  2307.0400   8925617400   80965562365
20130829000000  2338.5600  2318.3100  2342.3200  2308.1400   6608541500   59719882399
20130830000000  2315.9100  2313.9100  2334.4100  2303.6100   8765451500   76695994654
20130902000000  2319.9600  2320.3400  2329.8700  2297.4500   7951024900   73575869316
20130903000000  2326.2300  2354.5000  2354.8600  2321.3000   8055400500   72663978650
20130904000000  2352.5400  2350.7000  2360.6600  2345.4400   7872576300   68509013842
20130905000000  2350.9300  2341.7400  2351.2200  2336.7500   6295138300   59606065186
20130906000000  2336.7700  2357.7800  2361.1800  2335.9300   7334011600   63916893626
20130909000000  2374.2600  2440.6100  2449.2500  2372.6900  14988964000  127299546171
20130910000000  2446.4500  2474.8900  2475.2000  2435.8300  15485599200  130648129418
20130911000000  2483.7900  2482.8900  2504.4700  2471.6200  16691497400  142830288492
20130912000000  2480.4700  2507.4500  2527.3800  2469.7200  14517317500  126115528291
20130913000000  2502.5400  2488.9000  2515.7800  2481.4500  11077504900   98275004927
20130916000000  2501.0800  2478.3900  2503.6900  2467.1300  10538328200   97043842349
20130917000000  2480.8100  2427.3200  2481.7100  2426.4600   9945998200   93115107921
20130918000000  2426.0400  2432.5100  2439.6300  2407.2400   7104075900   69341324599
20130923000000  2441.5200  2472.2900  2473.1600  2439.9900   8012835200   80920687856
20130924000000  2470.7200  2443.8900  2470.7500  2420.0900   9785301300   96769831421
20130925000000  2440.8400  2429.0300  2455.0400  2423.2800   9051841800   89119216662
20130926000000  2422.6300  2384.4400  2422.6300  2382.5300   8623677000   84183923178
20130927000000  2382.2200  2394.9700  2402.2000  2379.8600   6597150800   66383990191
20130930000000  2406.2000  2409.0400  2415.0700  2397.2200   5951399200   60990141884
20131008000000  2406.4100  2441.8100  2446.7000  2392.5700   8478550600   84229908920
20131009000000  2432.9400  2453.5800  2453.7500  2424.7700   7627764500   76128340887
20131010000000  2455.6400  2429.3200  2455.9800  2422.0200   9032970600   89468020274
20131011000000  2442.3600  2468.5100  2471.1600  2439.6300   9338826100   91811541654
20131014000000  2472.2700  2472.5400  2483.1300  2462.5500  10008130100   99109155920
20131015000000  2475.3200  2467.5200  2479.1300  2449.4200   8917349600   86100822006
20131016000000  2459.0800  2421.3700  2459.0800  2409.7200   8897983400   83150844984
20131017000000  2432.6400  2413.3300  2440.9200  2407.7800   7122247400   67722892391
20131018000000  2415.1200  2426.0500  2435.7100  2410.6000   6029163000   59138754367
20131021000000  2431.9100  2471.3200  2472.7800  2423.5600   8490979500   82223144817
20131022000000  2470.2600  2445.8900  2470.2600  2439.8600   9070302900   83412053857
20131023000000  2451.5600  2418.4900  2474.3700  2412.4800   9154535500   83286778556
20131024000000  2412.2400  2400.5100  2422.9400  2395.4700   6456082100   60427235951
20131025000000  2400.5200  2368.5600  2413.3300  2353.9900   7707018200   70778094834
20131028000000  2372.5700  2365.9500  2377.2500  2351.8600   6287615200   56602098405
20131029000000  2369.2200  2372.0500  2408.6200  2327.9000  10673783300   91741559592
20131030000000  2371.8500  2407.4700  2407.8500  2365.5100   9217812600   75735067216
20131031000000  2398.3900  2373.7200  2398.3900  2370.2300   8273696400   70393879838
20131101000000  2373.9600  2384.9600  2395.0100  2365.1500   6305576200   57820026665
20131104000000  2397.2100  2380.4500  2404.9000  2376.3600   5179846100   48959462043
20131105000000  2366.8800  2383.7700  2385.6900  2343.8000   6208448800   56935549943
20131106000000  2371.3200  2353.5700  2383.5400  2352.7900   6377666300   59536872794
20131107000000  2351.8700  2340.5500  2356.6700  2328.2500   5482174700   50942569626
20131108000000  2329.0800  2307.9500  2342.6700  2306.0400   5378850800   48564999878
20131111000000  2305.9400  2315.8900  2325.2300  2295.0000   4573945700   42566548184
20131112000000  2319.3600  2340.0000  2342.5300  2316.6000   5268754500   49854763423
20131113000000  2325.3600  2288.1200  2325.5600  2287.5500   5984883100   53183050105
20131114000000  2291.2700  2304.5000  2305.7000  2279.0100   5731035600   51945077793
20131115000000  2306.5500  2350.7300  2377.2100  2306.5500   8639177100   83147858433
20131118000000  2367.8800  2428.9000  2429.5700  2361.0400  11003463300  108549512988
20131119000000  2427.9300  2412.1600  2427.9300  2405.0800   7864829600   79884936328
20131120000000  2428.7700  2424.8500  2435.4300  2406.4200   7229180100   67741428196
20131121000000  2412.4500  2409.9900  2415.3800  2382.8800   8770667700   82220527035
20131122000000  2415.2900  2397.9600  2419.0000  2393.5800   7500067500   70052206585
20131125000000  2385.7800  2388.6300  2418.8500  2380.6900   6614473400   63811265014
20131126000000  2387.8300  2387.4200  2399.0200  2380.4100   5918586400   53334204356
20131127000000  2386.3600  2414.4800  2422.8100  2383.7800   7529408800   70744775407
20131128000000  2419.1500  2439.5300  2460.5600  2417.2400   9066040600   86852445384
20131129000000  2442.6800  2438.9400  2446.3900  2432.3900   6180374600   61907374173
20131202000000  2423.9700  2418.7900  2464.8600  2397.0100  11965512300  112921841120
20131203000000  2410.6900  2442.7800  2448.3300  2406.6600   7445575200   72045234174
20131204000000  2439.8200  2475.1400  2486.6400  2434.6900  10265023500   94783931336
20131205000000  2476.4500  2468.2000  2481.7500  2460.5800   7770893200   72999931131
20131206000000  2463.0400  2452.2900  2470.8100  2445.6200   6611408900   64843207895
20131209000000  2460.0300  2450.8700  2468.9500  2445.9400   5716488400   57634539131
20131210000000  2456.2300  2453.3200  2466.6600  2444.5300   6694142400   61236728790
20131211000000  2440.5000  2412.7600  2440.5000  2400.7400   6807514400   62808851026
20131212000000  2406.7700  2410.0100  2423.3100  2402.7700   5014771900   47481447335
20131213000000  2388.6600  2406.6400  2416.2600  2386.2500   5150119600   47583527668
20131216000000  2408.6800  2367.9200  2412.7300  2367.4300   6458167400   62107893611
20131217000000  2369.2600  2356.3800  2373.2900  2351.1800   4848389100   46306075570
20131218000000  2356.7000  2357.2300  2368.5800  2350.4500   4001520700   39675269794
20131219000000  2366.2000  2332.4100  2370.9900  2331.1900   4809568000   45148866928
20131220000000  2335.0500  2278.1400  2338.8800  2278.1000   6520420700   60862129503
20131223000000  2283.8000  2284.6000  2295.7600  2259.5700   4558028500   44415342954
20131224000000  2291.1300  2288.2500  2312.8300  2270.2400   4559916800   45173191422
20131225000000  2291.7500  2305.1100  2305.6100  2281.6000   4400532600   41202984186
20131226000000  2299.9700  2265.3300  2301.4900  2263.9200   5149756300   48603013700
20131227000000  2268.5300  2303.4800  2315.1800  2264.3900   5338915700   51197946376
20131230000000  2313.3800  2299.4600  2316.6200  2295.6400   4841430800   46156442661
20131231000000  2289.0100  2330.0300  2333.0700  2287.1200   5663107000   57026486218
20140102000000  2323.4300  2321.9800  2325.9900  2310.6500   4519429100   49012211124
20140103000000  2311.9700  2290.7800  2314.8400  2280.8900   5978264500   57739709924
20140106000000  2286.3700  2238.6400  2286.3700  2229.3300   6630040300   59979360128
20140107000000  2222.3100  2238.0000  2246.7900  2218.6500   4375310300   42565648108
20140108000000  2240.6400  2241.9100  2262.5800  2228.4200   5134885400   50691488898
20140109000000  2236.9700  2222.2200  2258.8900  2220.8000   5598704100   54399491333
20140110000000  2216.5200  2204.8500  2224.4900  2200.2200   5416929300   47572309533
20140113000000  2207.0000  2193.6800  2222.0700  2183.6000   5012277200   46123003754
20140114000000  2192.8400  2212.8500  2214.1200  2179.9100   5404994700   46785099888
20140115000000  2210.0200  2208.9400  2215.9000  2193.8000   4896239500   45755914348
20140116000000  2209.4500  2211.8400  2227.2600  2201.5600   5229890200   49842784005
20140117000000  2203.8200  2178.4900  2205.9700  2175.8800   5027315500   46268159163
20140120000000  2173.6500  2165.9900  2182.4600  2156.4600   4056015400   39157227541
20140121000000  2168.4200  2187.4100  2197.9200  2168.4200   4030624700   38590992772
20140122000000  2190.4300  2243.8000  2244.1300  2187.5300   7064137500   64803357078
20140123000000  2242.2400  2231.8900  2248.9200  2228.0600   5634595100   55726417393
20140124000000  2225.7600  2245.6800  2257.3600  2222.8900   6116767000   59563444873
20140127000000  2233.0100  2215.9200  2233.2300  2211.8000   7034424600   63503992484
20140128000000  2220.7800  2219.8600  2233.2600  2205.9700   5326913000   49408754555
20140129000000  2225.7100  2227.7800  2233.0600  2219.9300   5022271700   48788682770
20140130000000  2223.1600  2202.4500  2223.1600  2200.2200   4363230400   43475960839
20140207000000  2187.3400  2212.4800  2212.5000  2177.1200   5045931500   49597106433
20140210000000  2221.5400  2267.5300  2270.1900  2221.5400   8306571600   81103244127
20140211000000  2267.7400  2285.5600  2296.5200  2262.6000   9922982900   92688969126
20140212000000  2286.1900  2291.2500  2294.3200  2276.4400   7659216100   73487379679
20140213000000  2288.4500  2279.5500  2307.4700  2278.2600   9621778900   87352124305
20140214000000  2278.4000  2295.5700  2295.8500  2274.4300   6708299700   64613327719
20140217000000  2308.7900  2311.6500  2315.5800  2293.5500   8783166600   86871352624
20140218000000  2310.3100  2282.4400  2310.3100  2276.1100   8704974300   88107267954
20140219000000  2280.9300  2308.6600  2317.4200  2274.1500   9935256100   88341900374
20140220000000  2314.0900  2287.4400  2331.7000  2286.2000  10643953300   91771595713
20140221000000  2284.0300  2264.2900  2287.8700  2250.6500   7636899300   69908188663
20140224000000  2246.7200  2214.5100  2246.7200  2194.1600   8921593900   79599146389
20140225000000  2216.5100  2157.9100  2225.2100  2150.0900   9323755100   88306571728
20140226000000  2147.7400  2163.4100  2164.7000  2137.0800   7799329700   68640581126
20140227000000  2170.8100  2154.1100  2180.0600  2150.1400   9010429600   81587999653
20140228000000  2149.4500  2178.9700  2180.4700  2133.5500   7666805700   70216798972
20140303000000  2173.9100  2190.3700  2194.2200  2167.9100   8207231400   69408739897
20140304000000  2183.8600  2184.2700  2188.6000  2161.5900   7306925000   64691438035
20140305000000  2187.3500  2163.9800  2189.0900  2159.5900   6133201500   55669679402
20140306000000  2159.4000  2173.6300  2181.4300  2136.4500   6909376700   61495023657
20140307000000  2170.0400  2168.3600  2189.3900  2161.4400   6426517700   58693177974
20140310000000  2149.6800  2097.7900  2149.6800  2095.0700   7141640700   63086412572
20140311000000  2092.6100  2108.6600  2118.7900  2088.7300   5762124300   53075782462
20140312000000  2102.8000  2114.1300  2130.5900  2090.7600   7006974700   60115239174
20140313000000  2119.5500  2140.3300  2149.4400  2115.9900   6922602800   59163094375
20140314000000  2129.8700  2122.8400  2140.3800  2109.5700   5861773700   49805247510
20140317000000  2132.7900  2143.0400  2143.2000  2118.9500   5240944500   47571288733
20140318000000  2146.1200  2138.1300  2152.4600  2134.9200   5535413200   54188441365
20140319000000  2131.2800  2120.8700  2131.2800  2101.2800   5930390500   55283943974
20140320000000  2116.1800  2086.9700  2134.7900  2086.5000   6763128500   58951601970
20140321000000  2079.8700  2158.8000  2163.2200  2077.7600  10402480700   83560511769
20140324000000  2161.9000  2176.5500  2186.7300  2150.8700  10449198400   81203913733
20140325000000  2170.7800  2174.4400  2191.4900  2164.6700   8687751000   67548473561
20140326000000  2181.2300  2171.0500  2186.0800  2165.2200   5827617600   50116023097
20140327000000  2168.3400  2155.7100  2186.8900  2146.9200   7127513200   62175860350
20140328000000  2154.5100  2151.9700  2172.6700  2144.5800   7008607300   60123341093
20140331000000  2156.0500  2146.3000  2165.2500  2134.4200   5545748800   48105020054
20140401000000  2143.7200  2163.1100  2170.0900  2141.1500   4886640300   43659064291
20140402000000  2166.0700  2180.7300  2182.6800  2164.0100   6503925700   56777151867
20140403000000  2188.6400  2165.0100  2196.1400  2160.7500   7153603200   57708859685
20140404000000  2157.9800  2185.4700  2186.1500  2155.2800   4794588800   43912624261
20140408000000  2179.9200  2237.3200  2243.9700  2178.9100   9721911700   85692893370
20140409000000  2239.7900  2238.6200  2246.7900  2228.9900   6635726800   61178630422
20140410000000  2241.4500  2273.7600  2290.7400  2229.5100  11454540500  101616815025
20140411000000  2269.5700  2270.6700  2281.1100  2261.1300   9061589700   86154853765
20140414000000  2267.9400  2268.6100  2275.8300  2255.4600   6226499800   60254151500
20140415000000  2261.4100  2229.4600  2261.4700  2225.6800   6821813000   62599115638
20140416000000  2223.4700  2232.5300  2245.3200  2221.1500   5167801000   47770218198
20140417000000  2238.7800  2224.8000  2241.6200  2221.9500   4833362800   45096433749
20140418000000  2215.8800  2224.4800  2228.7700  2203.0500   5075799500   45709617096
20140421000000  2209.9400  2187.2500  2231.7100  2186.7600   5627828000   51856112765
20140422000000  2184.0200  2196.8000  2196.8500  2165.0700   5709469400   52351993061
20140423000000  2191.2300  2194.6700  2205.5900  2187.3900   4776353100   45191150830
20140424000000  2192.7700  2190.4700  2209.4500  2186.7600   4505891100   41927012945
20140425000000  2195.8200  2167.8300  2201.7100  2167.6400   6024538300   52092022381
20140428000000  2165.7700  2134.9700  2171.3900  2132.7000   6048518700   49998809829
20140429000000  2134.4100  2158.4700  2159.3800  2131.7800   4820493100   41550353157
20140430000000  2158.7600  2158.6600  2164.1800  2153.1200   4533462400   39493022295
20140505000000  2152.5900  2156.4700  2161.7000  2131.2300   4934407300   41470449799
20140506000000  2151.3900  2157.3300  2173.6200  2150.1100   4808651900   41486451628
20140507000000  2151.4700  2137.3200  2153.7200  2136.9900   4460747000   37751019661
20140508000000  2132.0400  2135.5000  2168.2100  2128.3200   4833245200   40729772017
20140509000000  2138.8400  2133.9100  2141.5600  2120.5900   4918113500   40242745273
20140512000000  2150.3100  2180.0500  2184.3300  2139.4800   8347256000   66275508636
20140513000000  2180.0600  2174.8500  2185.0500  2167.7700   6491251800   50241276089
20140514000000  2175.0900  2172.3700  2184.2200  2169.0000   4851420600   39214123931
20140515000000  2169.2800  2144.0800  2171.4500  2142.3400   4673403200   38938529216
20140516000000  2143.9300  2145.9500  2150.5000  2132.1900   4225319700   34987586802
20140519000000  2139.3600  2115.1400  2139.3600  2105.7100   4289360700   37135950607
20140520000000  2124.7100  2115.7700  2131.5700  2110.7200   3729968300   31576339037
20140521000000  2106.7600  2135.9100  2136.1000  2096.5100   3894604200   32246807970
20140522000000  2134.0900  2130.8700  2160.9100  2128.8600   4625273600   39227549718
20140523000000  2130.7800  2148.4100  2148.5800  2128.6600   3762310500   32420020159
20140526000000  2161.8900  2155.9800  2165.4200  2147.4500   3955065600   37788482728
20140527000000  2154.3900  2147.2800  2160.0300  2145.7500   3589717100   32374256462
20140528000000  2147.4700  2169.3500  2171.1700  2142.0100   5005626000   45627619375
20140529000000  2171.2600  2155.1600  2178.0900  2154.9300   4489155600   41076912680
20140530000000  2156.3800  2156.4600  2166.9100  2146.2200   4392386300   39769199791
20140603000000  2157.6400  2149.9200  2168.9900  2149.2900   4198295400   37906226058
20140604000000  2149.4100  2128.2700  2149.4500  2117.3100   4181724900   35607022812
20140605000000  2126.6100  2150.6000  2150.9300  2123.5200   3647742400   33050774675
20140606000000  2149.2100  2134.7200  2149.7800  2123.9800   3573805800   32415599488
20140609000000  2128.2200  2134.2800  2153.9000  2126.6600   3931106000   35326732064
20140610000000  2138.6700  2161.2700  2161.5300  2132.4500   5050790200   44416141206
20140611000000  2156.1500  2160.7700  2163.6100  2152.0800   4256371800   37311080748
20140612000000  2156.7600  2153.4100  2160.9900  2148.4100   4302584300   37252041741
20140613000000  2150.9900  2176.2400  2183.6400  2150.5700   5925287600   51765511450
20140616000000  2176.4400  2191.8600  2196.3400  2174.2800   6329687500   56904298384
20140617000000  2185.6800  2169.6700  2185.6800  2168.4500   4993366500   46244977817
20140618000000  2169.2500  2160.2400  2172.5500  2158.5000   4946389700   42538095511
20140619000000  2161.4300  2126.9100  2166.4100  2119.5000   5316264500   46029744918
20140620000000  2124.9600  2136.7300  2137.0300  2120.8100   4239371900   35425712925
20140623000000  2137.9300  2134.1100  2147.2300  2132.4500   4117925800   37112428752
20140624000000  2131.6900  2144.8200  2145.2100  2130.2900   4016435600   38778505304
20140625000000  2141.7300  2133.3700  2141.7300  2126.0300   3766610000   33809315524
20140626000000  2135.1600  2149.0800  2151.1100  2134.8900   4435116600   40601836632
20140627000000  2146.3700  2150.2600  2159.5300  2138.9300   5272289600   45525673947
20140630000000  2152.3100  2165.1200  2168.2200  2152.3100   5430418800   50277570814
20140701000000  2169.2000  2164.5600  2171.1500  2157.1300   5332310000   49936284309
20140702000000  2164.0000  2170.8700  2171.5100  2155.6100   5968550100   53273658927
